ID	DOI	中文译名	英文原题	源URL	状态	格式	字节数	页数	题名匹配率	SHA256	本地文件	说明
B04	10.1177/1461444819854731	通过算法传闻管理YouTube可见性	Managing visibility on YouTube through algorithmic gossip	https://kclpure.kcl.ac.uk/ws/files/139130145/Managing_visibility_on_YouTube_BISHOP_Acc14_May2019Epub15Jun2019_GREEN_AAM.pdf	verified_downloaded	PDF	297472	18	1.00	28f7affde107b2c4ac2b96c4d87c1e6f41da5f0206478bdddb5a0f9b7fa4f5e4	文献全文/正文/B04_2019_通过算法传闻管理YouTube可见性__Managing visibility on YouTube through algorithmic gossip.pdf	题名与PDF文本匹配
B05	10.1038/s41598-023-43980-4	Twitter推荐系统的众包审计	Crowdsourced audit of Twitter’s recommender systems	https://www.nature.com/articles/s41598-023-43980-4.pdf	verified_downloaded	PDF	1611764	8	1.00	59d801f803fbd05ad37da02ce18b637d034e6c63ad4de0d46e42246c86f5b413	文献全文/正文/B05_2023_Twitter推荐系统的众包审计__Crowdsourced audit of Twitter’s recommender systems.pdf	题名与PDF文本匹配
B06	10.1093/joc/jqac047	建模新闻推荐系统对选择性曝光的条件效应：两项在线实验的证据	Modeling news recommender systems’ conditional effects on selective exposure: evidence from two online experiments	https://academic.oup.com/joc/advance-article-pdf/doi/10.1093/joc/jqac047/48410183/jqac047.pdf	download_failed							curl: (56) The requested URL returned error: 403
B07	10.1177/17456916231180809	理解在线信息消费中人与算法纠缠的挑战	Challenges in Understanding Human-Algorithm Entanglement During Online Information Consumption	https://europepmc.org/articles/PMC11373152?pdf=render	verified_downloaded	PDF	471598	9	1.00	dab601680ecffe48ab04542a95e6dd4b755e47f0374158029d8268ef0cff9b54	文献全文/正文/B07_2024_理解在线信息消费中人与算法纠缠的挑战__Challenges in Understanding Human-Algorithm Entanglement During Online Information Consumption.pdf	题名与PDF文本匹配
B08	10.1177/17456916231185057	数字媒体中的社会驱动因素与算法机制	Social Drivers and Algorithmic Mechanisms on Digital Media	https://europepmc.org/articles/PMC11373151?pdf=render	verified_downloaded	PDF	593204	14	1.00	1aae1b05d78ff28bff4d3aa42a4af1363486aceaf927414df1957cd8664e43a1	文献全文/正文/B08_2024_数字媒体中的社会驱动因素与算法机制__Social Drivers and Algorithmic Mechanisms on Digital Media.pdf	题名与PDF文本匹配
B09	10.1145/3531146.3533213	谁来审计审计者？算法审计生态系统实地扫描的建议	Who Audits the Auditors? Recommendations from a field scan of the algorithmic auditing ecosystem	https://arxiv.org/pdf/2310.02521	verified_downloaded	PDF	1082406	20	1.00	b0faf6b6855f8f1f6d961200ec808f17c2ebe7196256f3953178ae82139cc84b	文献全文/正文/B09_2022_谁来审计审计者？算法审计生态系统实地扫描的建议__Who Audits the Auditors Recommendations from a field scan of the algorithmic auditing ecosystem.pdf	题名与PDF文本匹配
B10	10.1145/3479577	日常算法审计：理解普通用户揭示有害算法行为的力量	Everyday Algorithm Auditing: Understanding the Power of Everyday Users in Surfacing Harmful Algorithmic Behaviors	https://arxiv.org/pdf/2105.02980	verified_downloaded	PDF	1083813	29	1.00	c2fc7742e6642fa65d0659a6929b7057cfff956b6e48b37db272d7ab03cdf2d1	文献全文/正文/B10_2021_日常算法审计：理解普通用户揭示有害算法行为的力量__Everyday Algorithm Auditing Understanding the Power of Everyday Users in Surfacing Harmful Algorithmic Be….pdf	题名与PDF文本匹配
B11	10.1145/3491102.3517441	走向用户驱动的算法审计：调查用户发现有害算法行为的策略	Toward User-Driven Algorithm Auditing: Investigating users’ strategies for uncovering harmful algorithmic behavior	https://dl.acm.org/doi/pdf/10.1145/3491102.3517441	download_failed							curl: (56) The requested URL returned error: 403
B12	10.1145/3485447.3512102	TikTok个性化因素的实证调查	An Empirical Investigation of Personalization Factors on TikTok	https://arxiv.org/pdf/2201.12271	verified_downloaded	PDF	2263536	12	1.00	e04d2fa6aec39256ce5210c8a4d30dff7d79923c71c09e9eb088c12c8f55e0a1	文献全文/正文/B12_2022_TikTok个性化因素的实证调查__An Empirical Investigation of Personalization Factors on TikTok.pdf	题名与PDF文本匹配
B13	10.1145/3589334.3645600	TikTok个性化艺术：调查社交媒体信息流中的探索与利用	TikTok and the Art of Personalization: Investigating Exploration and Exploitation on Social Media Feeds	https://repository.tudelft.nl/file/File_67e21b92-6996-4983-8b23-b17ec21e7d31	verified_downloaded	PDF	1518105	10	1.00	cd3b583abcc9efb88146cd08a9d58d6f16647063b11f093796477abaf3c36d3f	文献全文/正文/B13_2024_TikTok个性化艺术：调查社交媒体信息流中的探索与利用__TikTok and the Art of Personalization Investigating Exploration and Exploitation on Social Media Feeds.pdf	题名与PDF文本匹配
B14	10.1609/icwsm.v18i1.31376	审计社交媒体信息流的算法解释：TikTok视频解释案例研究	Auditing Algorithmic Explanations of Social Media Feeds: A Case Study of TikTok Video Explanations	https://ojs.aaai.org/index.php/ICWSM/article/download/31376/33536	verified_downloaded	PDF	364849	13	1.00	892ef0f1ead718210f24ba067c71839fffe3b286eb92a5c6c6a010b5dc96fdc3	文献全文/正文/B14_2024_审计社交媒体信息流的算法解释：TikTok视频解释案例研究__Auditing Algorithmic Explanations of Social Media Feeds A Case Study of TikTok Video Explanations.pdf	题名与PDF文本匹配
B15	10.1145/3447535.3462512	讨好算法：关于用户对TikTok算法假设的混合方法研究	Trick and Please. A Mixed-Method Study On User Assumptions About the TikTok Algorithm	https://dl.acm.org/doi/pdf/10.1145/3447535.3462512	download_failed							curl: (56) The requested URL returned error: 403
B16	10.1177/1461444818815684	参与可见性游戏：数字网红与算法如何协商影响力	Playing the visibility game: How digital influencers and algorithms negotiate influence on Instagram		oa_url_unavailable							开放线索错配，待定向补检
B17	10.5334/csci.140	映射TikTok网红：注意力经济与可见性劳动	Mapping Internet Celebrity on TikTok: Exploring Attention Economies and Visibility Labours	https://www.sciendo.com/pdf/10.5334/csci.140	verified_downloaded	PDF	4702765	27	1.00	1234d11fe995b30f431654f37b2bec156653dbbd9dbf46411f4c008934478261	文献全文/正文/B17_2020_映射TikTok网红：注意力经济与可见性劳动__Mapping Internet Celebrity on TikTok Exploring Attention Economies and Visibility Labours.pdf	题名与PDF文本匹配
B18	10.1038/s41598-023-33370-1	短视频平台的回声室效应	Echo chamber effects on short video platforms	https://www.nature.com/articles/s41598-023-33370-1.pdf	verified_downloaded	PDF	4847439	17	1.00	bdbb49d3ce7b73049358292ea4df5a33fd0fd8a94d9734e57bf197cbbbac2d0e	文献全文/正文/B18_2023_短视频平台的回声室效应__Echo chamber effects on short video platforms.pdf	题名与PDF文本匹配
B19	10.1073/pnas.2025334119	Twitter上的政治内容算法放大	Algorithmic Amplification of Politics on Twitter	https://pmc.ncbi.nlm.nih.gov/articles/PMC8740571/	verified_downloaded	HTML	166967		1.00	4628a07ec5eb0d852faee6de2a994b2bcad193c92afbba23bc2874eb617f5d9b	文献全文/正文/B19_2022_Twitter上的政治内容算法放大__Algorithmic Amplification of Politics on Twitter.html	PMC开放获取的期刊正文HTML；页面仅保留SI链接，未下载SI附件；已替换含合并SI的arXiv版
B20	10.1145/3351095.3372879	审计YouTube上的激进化路径	Auditing radicalization pathways on YouTube	https://arxiv.org/pdf/1908.08313	verified_downloaded	PDF	3256695	19	1.00	6eefa5b4c1f08755404a9686872fe3b979373f825b8933bac2d93cb391c41f6b	文献全文/正文/B20_2020_审计YouTube上的激进化路径__Auditing radicalization pathways on YouTube.pdf	题名与PDF文本匹配
C01	10.1057/9781137029317_6	社交媒体中作为身份认同资源的语篇化与符号再语境化	Entextualization and resemiotization as resources for identification in social media	http://urn.fi/URN:NBN:fi:jyu-201501151116	download_failed							curl: (56) The requested URL returned error: 403
C02	10.1080/10584609.2019.1686094	设计出的虚假信息：媒体操纵运动中证据拼贴与平台过滤的使用	Disinformation by Design: The Use of Evidence Collages and Platform Filtering in a Media Manipulation Campaign	https://www.tandfonline.com/doi/pdf/10.1080/10584609.2019.1686094?needAccess=true	download_failed							curl: (56) The requested URL returned error: 403
C03	10.1080/10584609.2019.1674979	一图能写千个谎言？社交媒体多模态虚假信息及其反驳的效果与机制	A Picture Paints a Thousand Lies? The Effects and Mechanisms of Multimodal Disinformation and Rebuttals Disseminated via Social Media	https://pure.uva.nl/ws/files/59795344/10584609.2019.pdf	verified_downloaded	PDF	1041136	22	1.00	5e917dcefedae919237d5681af1131adde350b6eab72fc9805f7e269ac8d0302	文献全文/正文/C03_2020_一图能写千个谎言？社交媒体多模态虚假信息及其反驳的效果与机制__A Picture Paints a Thousand Lies The Effects and Mechanisms of Multimodal Disinformation and Rebuttals Di….pdf	题名与PDF文本匹配
C04	10.1177/10776990211035395	视觉错误与虚假信息、社交媒体与民主	Visual Mis- and Disinformation, Social Media, and Democracy	https://pure.uva.nl/ws/files/63476354/10776990211035395.pdf	verified_downloaded	PDF	362012	24	1.00	b94a69d0c6bd1c304d8634b2e7a0741d643885126465f07ec4e1f00ce0322090	文献全文/正文/C04_2021_视觉错误与虚假信息、社交媒体与民主__Visual Mis- and Disinformation, Social Media, and Democracy.pdf	题名与PDF文本匹配
C05	10.1177/2056305116672884	社会性与分类：幽默迷因中的性别、种族与阶级解读	Sociality and Classification: Reading Gender, Race, and Class in a Humorous Meme	https://researchmgt.monash.edu/ws/files/229109140/226858822.pdf	verified_downloaded	PDF	511778	12	1.00	9a666c60c0834a41639b89213bd4d8897f69fe181862e70c1d2f65cd294380e2	文献全文/正文/C05_2016_社会性与分类：幽默迷因中的性别、种族与阶级解读__Sociality and Classification Reading Gender, Race, and Class in a Humorous Meme.pdf	题名与PDF文本匹配
D01	10.3389/fpsyg.2021.656365	基于社交媒体资料中不同价性自我披露的首印象形成	First Impression Formation Based on Valenced Self-Disclosure in Social Media Profiles	https://www.frontiersin.org/articles/10.3389/fpsyg.2021.656365/pdf	verified_downloaded	PDF	492047	11	0.88	76691bdddea78589de27404e2f1f42de3e54fe3aa2be0dc2a500b53406de75c5	文献全文/正文/D01_2021_基于社交媒体资料中不同价性自我披露的首印象形成__First Impression Formation Based on Valenced Self-Disclosure in Social Media Profiles.pdf	题名与PDF文本匹配
D02	10.1037/xge0000098	知识并不能防止错觉真理效应	Knowledge does not protect against illusory truth	https://doi.org/10.1037/xge0000098	downloaded_needs_review	HTML	8162		0.00	857735409e3e1833b94e889c43d2254d9886d0bf24be8532e39ec98035f820da	文献全文/需人工复核/D02_2015_知识并不能防止错觉真理效应__Knowledge does not protect against illusory truth.html	HTML可读文本过短，可能仅为摘要或登录页
D03	10.1037/xge0000465	先前曝光会提高对假新闻准确性的感知	Prior exposure increases perceived accuracy of fake news	https://pmc.ncbi.nlm.nih.gov/articles/PMC6279465	verified_downloaded	HTML	253332		1.00	db2e668b2a895bb2398157b4ae6a82ff1e2268050bd1a7cc65994c3c717532a0	文献全文/正文/D03_2018_先前曝光会提高对假新闻准确性的感知__Prior exposure increases perceived accuracy of fake news.html	题名与HTML全文候选匹配
D04	10.1186/s41235-021-00301-5	重复频率对错觉真理效应的影响	The effects of repetition frequency on the illusory truth effect	https://europepmc.org/articles/PMC8116821?pdf=render	verified_downloaded	PDF	1191786	12	1.00	82b966a0a220ceed3c9c52c61bacb28f05f9fa1bf1d4a06743331443b29e7bc7	文献全文/正文/D04_2021_重复频率对错觉真理效应的影响__The effects of repetition frequency on the illusory truth effect.pdf	题名与PDF文本匹配
D05	10.1186/s41235-020-00251-4	对陈述和模拟社交媒体帖文真实性的感知：来源可信度、重复曝光与呈现形式的实验研究	Perceived truth of statements and simulated social media postings: an experimental investigation of source credibility, repeated exposure, and presentation format	https://europepmc.org/articles/PMC7656226?pdf=render	verified_downloaded	PDF	1796283	16	1.00	7ff49c192565605ce9f2c0090b872391b1083d64c83de9dc3bd550721e906685	文献全文/正文/D05_2020_对陈述和模拟社交媒体帖文真实性的感知：来源可信度、重复曝光与…__Perceived truth of statements and simulated social media postings an experimental investigation of source….pdf	题名与PDF文本匹配
D06	10.1016/j.cognition.2023.105421	错觉真理效应会导致错误信息的传播	The illusory truth effect leads to the spread of misinformation	https://europepmc.org/articles/PMC10636596?pdf=render	verified_downloaded	PDF	2061626	7	1.00	58fc724c538290f2db9678168db3bb07d0b19b20d56509404ea4d7199a24c446	文献全文/正文/D06_2023_错觉真理效应会导致错误信息的传播__The illusory truth effect leads to the spread of misinformation.pdf	题名与PDF文本匹配
